DATAFLOW,LAST UPDATE,freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2016,19.82,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2017,19.48,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2018,18.69,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2019,21.07,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2020,21.91,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2009,7.25,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2010,11.43,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2011,15.28,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2012,16.66,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2013,14.45,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2014,12.73,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2015,11.70,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2016,11.61,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2017,10.80,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2018,17.59,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2019,11.66,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SE,2020,11.76,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SK,2009,12.25,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SK,2010,12.37,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SK,2011,16.98,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SK,2012,17.6,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SK,2013,18.42,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SK,2014,17.49,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SK,2015,17.24,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SK,2016,18.42,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SK,2017,16.27,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SK,2018,17.78,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,SK,2019,18.20,
